id;data_de_criacao;flag;lat;long
182938;2016-04-13;JOA1977694593;-7.804419800000001;-37.7944521
182948;2016-04-13;JOA1977658653;-7.804419800000001;-37.7944521
182958;2016-04-14;JOA1977622720;-7.804419800000001;-37.7944521
182973;2016-06-07;ANA1978952453;-7.669499999999999;-37.4579121
182983;2016-04-14;JOA1977586784;-7.804419800000001;-37.7944521
182998;2016-06-07;ANA1978916482;-7.669499999999999;-37.4579121
183008;2016-04-14;JOA1979096140;-7.804419800000001;-37.7944521
183018;2016-04-15;JOA1979060230;-7.804419800000001;-37.7944521
183033;2016-06-07;ANA1978844616;-7.669499999999999;-37.4579121
183043;2016-04-14;JOA1979024292;-7.804419800000001;-37.7944521
183058;2016-06-07;ANA1978844748;-7.669499999999999;-37.4579121
183067;2016-04-15;JOA1978988322;-7.804419800000001;-37.7944521
183082;2016-06-07;ANA1978808804;-7.669499999999999;-37.4579121
183097;2016-06-07;ANA1978772803;-7.669499999999999;-37.4579121
183107;2016-04-15;JOA1978988489;-7.804419800000001;-37.7944521
183117;2016-04-15;JOA1978952489;-7.804419800000001;-37.7944521
183127;2016-04-18;JOA1978916519;-7.804419800000001;-37.7944521
183137;2016-04-18;JOA1978880546;-7.804419800000001;-37.7944521
183152;2016-06-08;ANA1980210215;-7.669499999999999;-37.4579121
183167;2016-06-08;ANA1980210316;-7.669499999999999;-37.4579121
183177;2016-04-18;JOA1978880682;-7.804419800000001;-37.7944521
183187;2016-04-18;JOA1978844709;-7.804419800000001;-37.7944521
183197;2016-04-19;JOA1978808705;-7.804419800000001;-37.7944521
183212;2016-06-08;ANA1980102369;-7.669499999999999;-37.4579121
183222;2016-04-19;JOA1978772735;-7.804419800000001;-37.7944521
183237;2016-06-08;ANA1980102502;-7.669499999999999;-37.4579121
183247;2016-04-19;JOA1980282063;-7.804419800000001;-37.7944521
183262;2016-06-09;ANA1980066502;-7.669499999999999;-37.4579121
183272;2016-04-19;JOA1980282225;-7.804419800000001;-37.7944521
183282;2016-04-20;JOA1980246224;-7.804419800000001;-37.7944521
183297;2016-06-09;ANA1980030631;-7.669499999999999;-37.4579121
183312;2016-06-09;ANA1979994630;-7.669499999999999;-37.4579121
183322;2016-04-20;JOA1980210352;-7.804419800000001;-37.7944521
183332;2016-04-20;JOA1980174351;-7.804419800000001;-37.7944521
183342;2016-04-20;JOA1980138411;-7.804419800000001;-37.7944521
183357;2016-06-09;ANA1981468116;-7.669499999999999;-37.4579121
183367;2016-04-20;JOA1980102406;-7.804419800000001;-37.7944521
183382;2016-06-09;ANA1981396201;-7.669499999999999;-37.4579121
183392;2016-04-22;JOA1980066540;-7.804419800000001;-37.7944521
183407;2016-06-09;ANA1981360337;-7.669499999999999;-37.4579121
183422;2016-06-09;ANA1981324334;-7.669499999999999;-37.4579121
183437;2016-06-09;ANA1981288297;-7.669499999999999;-37.4579121
183452;2016-06-10;ANA1981288423;-7.669499999999999;-37.4579121
183462;2016-04-14;JOA1979958793;-7.804419800000001;-37.7944521
183477;2016-06-10;ANA1981252393;-7.669499999999999;-37.4579121
183492;2016-06-10;ANA1981216416;-7.669499999999999;-37.4579121
183507;2016-06-10;ANA1981216489;-7.669499999999999;-37.4579121
183522;2016-06-10;ANA1981216586;-7.669499999999999;-37.4579121
183532;2016-04-22;JOA1981432175;-7.804419800000001;-37.7944521
183547;2016-06-10;ANA1981180554;-7.669499999999999;-37.4579121
183557;2016-04-22;JOA1981396206;-7.804419800000001;-37.7944521
183572;2016-06-10;ANA1981144545;-7.669499999999999;-37.4579121
183584;2016-05-05;ELI1981180547;-7.4686612;-37.2746574
183599;2016-06-10;ANA1981144648;-7.669499999999999;-37.4579121
183614;2016-06-10;ANA1982653900;-7.669499999999999;-37.4579121
